,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,75,88,-21.2,-175.2,71.6,3.36
1,Vaini,75,88,-21.2,-175.2,71.6,3.36
2,Rikitea,21,83,-23.12,-134.97,74.01,12.17
3,Hermanus,19,58,-34.42,19.23,57.0,1.99
4,Shakhtinsk,75,75,49.71,72.59,41.0,6.71
5,Cape Town,20,58,-33.93,18.42,60.01,6.93
6,Albany,66,67,42.6,-73.97,75.0,9.8
7,Jamestown,1,68,42.1,-79.24,73.0,14.99
8,Dvinskoy,86,86,62.15,45.12,52.61,3.83
9,Yashkul',20,42,46.17,45.34,61.65,17.49
10,Geraldton,75,81,-28.77,114.6,53.6,5.82
11,Opuwo,0,12,-18.06,13.84,85.8,17.72
12,Témiscaming,90,77,46.72,-79.1,66.2,16.11
13,Ushuaia,90,70,-54.8,-68.3,42.8,14.99
14,Mahébourg,75,83,-20.41,57.7,71.6,12.75
15,Faya,36,13,18.39,42.45,77.0,8.05
16,Shimoda,0,91,34.67,138.95,61.0,4.21
17,Punta Arenas,90,65,-53.15,-70.92,44.6,11.41
18,Angola,61,20,-12.5,18.5,87.53,2.71
19,Atuona,5,74,-9.8,-139.03,77.76,15.95
20,Adavere,0,74,58.71,25.9,64.0,7.34
21,Codrington,0,85,-38.27,141.97,37.54,6.13
22,Carnarvon,0,64,-24.87,113.63,68.0,17.22
23,Cayenne,75,49,4.93,-52.33,91.4,8.05
24,Ixtapa,5,74,20.7,-105.2,86.0,1.52
25,Harper,31,79,4.38,-7.72,79.9,10.47
26,Busselton,100,81,-33.65,115.33,55.99,8.46
27,Kaitangata,63,76,-46.28,169.85,36.0,8.99
28,Tocopilla,17,52,-22.09,-70.2,65.88,10.02
29,Butaritari,83,79,3.07,172.79,81.95,13.24
30,Bluff,93,94,-46.6,168.33,34.0,11.01
31,Maceió,75,65,-9.67,-35.74,82.4,9.17
32,Eureka,0,97,40.8,-124.16,59.0,1.01
33,Avarua,86,73,-21.21,-159.78,71.6,6.93
34,Mulchén,0,62,-37.72,-72.23,57.2,11.41
35,Vila Velha,0,41,-20.33,-40.29,91.4,14.99
36,Ponta do Sol,40,73,32.67,-17.1,72.0,9.17
37,Nome,40,74,64.5,-165.41,35.01,13.87
38,Lebu,0,71,-37.62,-73.65,53.98,10.42
39,São Filipe,45,81,14.9,-24.5,80.98,8.23
40,Saskylakh,94,88,71.92,114.08,37.62,9.69
41,Bytów,90,72,54.17,17.49,66.99,9.17
42,Tasiilaq,89,80,65.61,-37.64,41.0,5.82
43,Cidreira,100,87,-30.18,-50.21,68.88,5.48
44,Santa Cruz de la Sierra,75,58,-17.8,-63.17,87.8,23.04
45,Norman Wells,20,87,65.28,-126.83,42.8,3.36
46,Hong Kong,100,83,22.29,114.16,82.0,18.68
47,Mataura,97,94,-46.19,168.86,34.0,11.01
48,Eisenberg,99,77,50.97,11.9,55.0,4.07
49,Snyder,1,44,32.72,-100.92,80.6,10.29
50,Fomboni,2,78,-12.28,43.74,78.03,17.58
51,Barrow,90,92,71.29,-156.79,30.2,9.17
52,Port Alfred,0,61,-33.59,26.89,57.92,14.36
53,Barsovo,94,87,61.17,73.17,55.4,11.18
54,Torbay,75,64,47.67,-52.73,69.01,23.04
55,Cap Malheureux,10,73,-19.98,57.61,73.99,8.99
56,Yellowknife,90,93,62.46,-114.35,43.0,8.05
57,Provideniya,89,92,64.38,-173.3,31.87,8.97
58,Qaanaaq,0,78,77.48,-69.36,13.82,6.71
59,Tuktoyaktuk,90,100,69.45,-133.04,35.6,9.17
60,Semey,91,58,50.41,80.23,47.88,10.56
61,Roald,0,71,62.58,6.13,57.2,3.36
62,Chifeng,1,64,42.27,118.96,59.67,7.74
63,Natal,20,55,-5.79,-35.21,87.8,20.8
64,Nouadhibou,0,65,20.93,-17.03,80.6,21.92
65,Port Blair,99,79,11.67,92.75,82.49,10.29
66,Dakar,75,66,14.69,-17.44,89.6,4.7
67,Hilo,1,73,19.73,-155.09,69.8,6.93
68,Bambous Virieux,75,83,-20.34,57.76,73.99,12.75
69,Uitenhage,20,62,-33.76,25.4,57.0,14.99
70,Chui,100,92,-33.7,-53.46,66.52,5.3
71,São João da Barra,7,36,-21.64,-41.05,91.4,6.93
72,West Bay,20,66,19.37,-81.42,89.6,8.05
73,Talisayan,75,88,6.99,121.93,78.8,2.24
74,Katsuura,75,94,35.13,140.3,68.0,3.36
75,Nikolskoye,0,67,59.7,30.79,64.99,6.71
76,Yangi Marg`ilon,100,48,40.43,71.72,66.2,6.93
77,Tuatapere,80,94,-46.13,167.68,34.0,11.01
78,Port Elizabeth,20,62,-33.92,25.57,55.4,14.99
79,Sonqor,14,11,34.78,47.6,80.6,11.41
80,Nanortalik,0,72,60.14,-45.24,39.15,12.15
81,Souillac,75,83,-20.52,57.52,71.6,12.75
82,Kapaa,40,78,22.08,-159.32,78.8,9.17
83,Adamovka,0,49,51.52,59.94,51.37,3.13
84,Hithadhoo,54,66,-0.6,73.08,83.12,3.11
85,Vao,99,88,-22.67,167.48,71.98,12.08
86,San Quintín,0,74,30.48,-115.95,69.62,3.09
87,Hasaki,75,100,35.73,140.83,63.0,2.24
88,Klaksvík,100,87,62.23,-6.59,46.4,17.22
89,Mandalgovi,21,53,45.76,106.27,44.24,8.79
90,Bethel,90,73,41.37,-73.41,73.4,5.82
91,Westport,90,78,41.14,-73.36,75.0,3.36
92,Khuzhir,29,69,53.19,107.34,44.58,11.41
93,Killybegs,75,82,54.63,-8.45,59.0,8.05
94,Adrar,0,11,20.5,-10.07,102.49,11.27
95,Mananjary,68,84,-21.22,48.33,71.56,9.69
96,Chokurdakh,100,72,70.63,147.92,40.08,3.94
97,Oakdale,1,58,44.96,-92.96,60.01,9.17
98,Portland,90,100,45.52,-122.68,57.99,3.36
99,Hobart,40,65,-42.88,147.33,46.99,8.05
100,Cacheu,75,66,12.27,-16.17,91.4,4.7
101,Jaffna,98,82,9.67,80.01,81.88,18.23
102,Östersund,100,100,63.18,14.64,42.8,5.82
103,Abu Dhabi,0,79,24.47,54.37,89.6,8.05
104,Périgueux,100,86,45.18,0.72,53.01,9.24
105,Muros,61,60,42.78,-9.06,66.99,5.01
106,San Vicente,100,32,-26.62,-54.13,90.25,9.51
107,Yanam,75,83,16.73,82.22,82.4,5.82
108,Creston,90,100,41.06,-94.36,53.6,11.48
109,Korla,98,85,41.76,86.15,68.0,10.2
110,Salalah,40,83,17.02,54.09,78.8,6.93
111,Rawson,0,36,-43.3,-65.1,58.6,10.76
112,Dunhua,0,87,43.37,128.24,50.83,4.07
113,Lüderitz,0,56,-26.65,15.16,59.34,26.44
114,Topolog,0,39,44.88,28.37,66.2,9.17
115,Mar del Plata,90,100,-38.0,-57.56,54.0,16.11
116,Mahrīz,20,15,31.59,54.43,82.4,4.7
117,Vuktyl,100,89,63.86,57.31,53.76,5.59
118,Winnemucca,1,43,40.97,-117.74,55.4,18.34
119,Zhezkazgan,0,52,47.8,67.71,44.6,13.42
120,Corn Island,62,76,12.17,-83.04,83.86,9.91
121,Poum,71,83,-20.23,164.02,75.04,12.24
122,Ilulissat,91,64,69.22,-51.1,33.8,9.17
123,Saint-Philippe,89,68,-21.36,55.77,69.8,9.17
124,Puerto Ayora,99,83,-0.74,-90.35,70.0,8.01
125,Petrykiv,100,70,49.53,25.58,55.99,4.0
126,Severo-Kuril'sk,100,84,50.68,156.12,47.88,19.77
127,Ulladulla,40,87,-35.35,150.47,46.0,5.82
128,Kyshtovka,72,88,56.55,76.63,43.7,5.35
129,Cabo San Lucas,5,74,22.89,-109.91,87.01,4.7
130,Healesville,0,99,-37.65,145.52,39.99,1.68
131,Kahului,20,69,20.89,-156.47,73.4,6.93
132,Srednekolymsk,100,63,67.45,153.68,42.48,9.01
133,Sheregesh,12,90,52.92,87.99,34.97,3.22
134,Panacan,20,88,9.25,118.41,80.6,4.7
135,Talnakh,75,93,69.49,88.4,37.4,6.71
136,Morondava,50,77,-20.28,44.28,77.16,11.72
137,Tazovsky,100,85,67.47,78.7,43.2,23.15
138,Aquiraz,20,51,-3.9,-38.39,86.0,18.34
139,Vardø,0,69,70.37,31.11,37.4,8.05
140,Yar-Sale,48,73,66.83,70.83,41.58,18.07
141,Naze,73,73,28.37,129.48,77.0,6.93
142,Bonthe,89,75,7.53,-12.51,81.09,11.16
143,Choya,64,85,52.01,86.55,38.7,0.36
144,Sittwe,51,86,20.15,92.9,81.81,6.76
145,Amparafaravola,89,84,-17.58,48.22,65.95,7.07
146,Mossamedes,30,77,-15.2,12.15,66.56,7.18
147,Tupik,86,88,54.43,119.93,36.0,3.56
148,Pitimbu,20,58,-7.47,-34.81,86.0,14.99
149,Arraial do Cabo,100,52,-22.97,-42.03,93.2,12.75
150,Boralday,75,46,43.36,76.86,50.0,6.71
151,Lavrentiya,86,93,65.58,-171.0,32.7,10.98
152,Great Falls,75,45,47.5,-111.3,50.0,10.29
153,Borogontsy,100,79,62.67,131.17,51.55,9.01
154,Kandé,75,78,9.96,1.04,78.8,3.36
155,Dillon,90,78,34.42,-79.37,77.0,3.36
156,Brae,75,87,60.4,-1.35,50.0,2.24
157,Ilmajoki,43,82,62.73,22.57,62.6,1.12
158,Bījār,13,37,35.87,47.61,59.49,7.2
159,Verkhnevilyuysk,100,80,63.45,120.32,42.22,4.5
160,Clyde River,90,92,70.47,-68.59,28.4,9.17
161,Matveyevka,0,61,52.15,56.18,50.0,4.47
162,La Ronge,75,70,55.1,-105.28,46.4,12.75
163,Māngrol,0,75,21.12,70.12,80.55,7.43
164,Esperance,92,100,-33.87,121.9,53.6,10.29
165,Thompson,90,87,55.74,-97.86,42.8,11.41
166,Lumding,57,97,25.75,93.17,75.78,2.24
167,Gandu,40,32,-13.74,-39.49,90.36,4.9
168,Arrondissement du Havre,90,93,49.58,0.33,54.0,17.22
169,Ruteng,26,100,-8.61,120.47,62.28,1.77
170,Santa Maria,75,83,-29.68,-53.81,71.6,9.17
